unit_id,delay,duration,lib_id,abs_max_value,x_deg,y_deg,theta_deg,sigma_deg,xi,yi,theta_idx,theta_rad,sigma_idx,sigma,frequency_idx,frequency,source_file
DMD2_green_roi0,0.125,0.1,ab4a70858e,0.07208068668842316,-33.134328358208954,17.02830188679245,112.48408527317332,10.74,15,17,5,1.5707963267948966,1,3.0,9,0.1,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.125__dur_0.1.h5
DMD2_green_roi1,0.125,0.06666666666666667,ab4a70858e,0.0997442826628685,-43.88059701492537,-6.273584905660378,157.4840764271708,10.74,9,30,7,2.199114857512855,1,3.0,4,0.05,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.125__dur_0.06666666666666667.h5
DMD2_green_roi10,0.125,0.1,ab4a70858e,0.12317392230033875,-36.71641791044776,-4.481132075471699,180.0,7.16,13,29,8,2.5132741228718345,0,2.0,6,0.07,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.125__dur_0.1.h5
DMD2_green_roi11,0.125,0.1,ab4a70858e,0.10449443012475967,-33.134328358208954,0.8962264150943398,157.4840764271708,10.74,15,26,7,2.199114857512855,1,3.0,1,0.02,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.125__dur_0.1.h5
DMD2_green_roi12,0.1,0.1,ab4a70858e,0.08716833591461182,-33.134328358208954,-4.481132075471699,22.515923572829195,14.32,15,29,1,0.3141592653589793,2,4.0,8,0.09,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.1__dur_0.1.h5
DMD2_green_roi13,0.125,0.1,ab4a70858e,0.07614780962467194,-27.761194029850742,-11.650943396226417,22.515923572829163,17.91,18,33,9,2.827433388230814,3,5.0,1,0.02,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.125__dur_0.1.h5
DMD2_green_roi14,0.025,0.1,ab4a70858e,0.08416980504989624,-15.223880597014926,-20.61320754716981,134.9774869247291,28.65,25,38,6,1.8849555921538759,5,8.0,8,0.09,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.025__dur_0.1.h5
DMD2_green_roi15,0.0,0.1,ab4a70858e,0.07355206459760666,-9.850746268656714,22.405660377358487,45.02251307527088,10.74,28,14,2,0.6283185307179586,1,3.0,3,0.04,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.0__dur_0.1.h5
DMD2_green_roi16,0.07500000000000001,0.06666666666666667,ab4a70858e,0.1547136753797531,-33.134328358208954,-0.8962264150943398,90.0,14.32,15,27,4,1.2566370614359172,2,4.0,8,0.09,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.07500000000000001__dur_0.06666666666666667.h5
DMD2_green_roi17,0.1,0.06666666666666667,ab4a70858e,0.1570172905921936,-33.134328358208954,-0.8962264150943398,134.9774869247291,10.74,15,27,6,1.8849555921538759,1,3.0,4,0.05,/mnt/ceph-hdd/workspaces/ws/cidbn_wibral_neuro_nonhuman/u19361-allen-hdd/results/sub-829704_ses-829704-2025-12-18-10-57-36_image+ophys/DMD2/green/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.1__dur_0.06666666666666667.h5
