unit_id,delay,duration,lib_id,abs_max_value,x_deg,y_deg,theta_deg,sigma_deg,xi,yi,theta_idx,theta_rad,sigma_idx,sigma,frequency_idx,frequency,source_file
001ef1fa-1bd6-4ec5-b675-f8fee394e4b0,-0.075,-0.08,ab4a70858e,0.08981675654649734,-13.43283582089552,13.443396226415096,67.51591472682667,7.16,26,19,3,0.9424777960769379,0,2.0,12,1.3,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_-0.075__dur_-0.08.h5
00814c2b-98d0-4a6e-b3d3-faa4df485852,0.05,0.18000000000000002,ab4a70858e,0.07837752252817154,17.014925373134332,31.367924528301884,45.02251307527088,7.16,43,9,2,0.6283185307179586,0,2.0,9,0.1,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.05__dur_0.18000000000000002.h5
008259ce-ba57-4996-838c-bf63b7ec8dfe,0.1,0.23,ab4a70858e,0.08617977052927017,-25.970149253731343,11.650943396226417,157.4840764271708,17.91,19,20,7,2.199114857512855,3,5.0,5,0.06,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.1__dur_0.23.h5
0134794d-2b23-40b8-97b6-c8dbd5f1c2ad,-0.15,-0.13,ab4a70858e,0.07685843110084534,-11.64179104477612,-4.481132075471699,0.0,17.91,27,29,0,0.0,3,5.0,11,1.2,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_-0.15__dur_-0.13.h5
0241dc76-bf8b-4e58-9c3a-6db103ba9cca,0.15000000000000002,0.23,ab4a70858e,0.08980988711118698,4.477611940298516,2.6886792452830193,157.4840764271708,28.65,36,25,7,2.199114857512855,5,8.0,9,0.1,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.15000000000000002__dur_0.23.h5
04dc1cda-4641-49fe-8ad6-25ad1e05465a,0.25,0.23,ab4a70858e,0.0769185945391655,38.507462686567166,-15.235849056603776,67.51591472682667,28.65,55,35,3,0.9424777960769379,5,8.0,5,0.06,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.25__dur_0.23.h5
04f46021-8ffb-46b4-9a81-2b35562c52d4,-0.02,-0.13,ab4a70858e,0.08518122136592865,-45.67164179104478,-2.6886792452830193,45.02251307527088,17.91,8,28,2,0.6283185307179586,3,5.0,9,0.1,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_-0.02__dur_-0.13.h5
051862fb-a65d-4b1a-803b-0ac438bd95bd,0.0,0.23,ab4a70858e,0.08281691372394562,-9.850746268656714,9.858490566037737,0.0,14.32,28,21,0,0.0,2,4.0,9,0.1,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.0__dur_0.23.h5
065af5c0-6462-400c-9da4-e681746abfd4,-0.01,-0.23,ab4a70858e,0.0940311923623085,34.92537313432837,-9.858490566037737,157.4840764271708,17.91,53,32,7,2.199114857512855,3,5.0,12,1.3,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_-0.01__dur_-0.23.h5
066c2ff7-7a21-4cd2-842c-95ec86b6725b,0.05,0.23,ab4a70858e,0.08029516786336899,-20.59701492537313,11.650943396226417,112.48408527317332,14.32,22,20,5,1.5707963267948966,2,4.0,5,0.06,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.05__dur_0.23.h5
06800a5b-e081-4159-9785-1dfbe414f241,0.1,0.23,ab4a70858e,0.08462841808795929,-17.014925373134325,43.91509433962264,112.48408527317332,28.65,24,2,5,1.5707963267948966,5,8.0,7,0.08,/user/raabe14/u19361/workspace-allen/results/zebra/sub-830794_ses-ecephys-830794-2026-01-26-12-02-05_ecephys/ProbeE/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.1__dur_0.23.h5
