unit_id,delay,duration,lib_id,abs_max_value,x_deg,y_deg,theta_deg,sigma_deg,xi,yi,theta_idx,theta_rad,sigma_idx,sigma,frequency_idx,frequency,source_file
0,0.12,0.0,ab4a70858e,0.09481262415647507,-25.970149253731343,4.481132075471699,112.48408527317332,10.74,19,24,5,1.5707963267948966,1,3.0,11,1.2,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.12__dur_0.0.h5
1,0.12,0.2,ab4a70858e,0.10520336031913757,20.59701492537313,0.8962264150943398,157.4840764271708,14.32,45,26,7,2.199114857512855,2,4.0,3,0.04,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.12__dur_0.2.h5
10,0.06,0.0,ab4a70858e,0.09853887557983398,-38.507462686567166,-20.61320754716981,112.48408527317332,7.16,12,38,5,1.5707963267948966,0,2.0,9,0.1,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.06__dur_0.0.h5
100,0.12,0.2,ab4a70858e,0.11914315819740295,25.97014925373135,24.198113207547166,157.4840764271708,14.32,48,13,7,2.199114857512855,2,4.0,12,1.3,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.12__dur_0.2.h5
101,0.15,0.2,ab4a70858e,0.10336204618215561,47.462686567164184,42.12264150943396,157.4840764271708,7.16,60,3,7,2.199114857512855,0,2.0,12,1.3,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.15__dur_0.2.h5
102,0.09,0.2,ab4a70858e,0.09955424070358276,36.71641791044776,-25.99056603773585,134.9774869247291,7.16,54,41,6,1.8849555921538759,0,2.0,10,1.1,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.09__dur_0.2.h5
103,0.09,0.2,ab4a70858e,0.09712842106819153,-4.477611940298509,-4.481132075471699,180.0,14.32,31,29,8,2.5132741228718345,2,4.0,10,1.1,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.09__dur_0.2.h5
104,0.0,0.2,ab4a70858e,0.09764483571052551,20.59701492537313,6.273584905660378,134.9774869247291,14.32,45,23,6,1.8849555921538759,2,4.0,10,1.1,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.0__dur_0.2.h5
105,0.09,0.0,ab4a70858e,0.10873795300722122,0.8955223880597032,-6.273584905660378,180.0,17.91,34,30,8,2.5132741228718345,3,5.0,12,1.3,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.09__dur_0.0.h5
106,0.09,0.0,ab4a70858e,0.09944485872983932,-25.970149253731343,-34.95283018867924,45.02251307527088,14.32,19,46,2,0.6283185307179586,2,4.0,4,0.05,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.09__dur_0.0.h5
107,0.15,0.0,ab4a70858e,0.09427172690629959,38.507462686567166,22.405660377358487,90.0,14.32,55,14,4,1.2566370614359172,2,4.0,11,1.2,/user/raabe14/u19361/workspace-allen/results/VISl_7/trial_0/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.15__dur_0.0.h5
