unit_id,delay,duration,lib_id,abs_max_value,x_deg,y_deg,theta_deg,sigma_deg,xi,yi,theta_idx,theta_rad,sigma_idx,sigma,frequency_idx,frequency,source_file
0,0.03,0.0,ab4a70858e,0.09527505934238434,-18.80597014925373,22.405660377358487,22.515923572829163,14.32,23,14,9,2.827433388230814,2,4.0,12,1.3,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.03__dur_0.0.h5
1,0.03,0.2,ab4a70858e,0.10504021495580673,0.8955223880597032,-2.6886792452830193,22.515923572829195,21.49,34,28,1,0.3141592653589793,4,6.0,7,0.08,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.03__dur_0.2.h5
10,0.0,0.0,ab4a70858e,0.09312935173511505,-17.014925373134325,-17.028301886792452,90.0,10.74,24,36,4,1.2566370614359172,1,3.0,10,1.1,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.0__dur_0.0.h5
100,0.09,0.2,ab4a70858e,0.17164279520511627,6.268656716417908,-17.028301886792452,112.48408527317332,14.32,37,36,5,1.5707963267948966,2,4.0,6,0.07,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.09__dur_0.2.h5
101,0.12,0.0,ab4a70858e,0.23709969222545624,0.8955223880597032,-9.858490566037737,157.4840764271708,17.91,34,32,7,2.199114857512855,3,5.0,3,0.04,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.12__dur_0.0.h5
102,0.0,0.2,ab4a70858e,0.11114078015089035,22.388059701492537,33.160377358490564,67.51591472682667,7.16,46,8,3,0.9424777960769379,0,2.0,10,1.1,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.0__dur_0.2.h5
103,0.06,0.0,ab4a70858e,0.10299957543611526,-27.761194029850742,9.858490566037737,112.48408527317332,10.74,18,21,5,1.5707963267948966,1,3.0,11,1.2,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.06__dur_0.0.h5
104,0.09,0.2,ab4a70858e,0.14372366666793823,-4.477611940298509,-11.650943396226417,180.0,7.16,31,33,8,2.5132741228718345,0,2.0,12,1.3,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.09__dur_0.2.h5
105,0.15,0.2,ab4a70858e,0.09620609879493713,-40.298507462686565,-29.57547169811321,134.9774869247291,7.16,11,43,6,1.8849555921538759,0,2.0,10,1.1,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.15__dur_0.2.h5
106,0.12,0.2,ab4a70858e,0.15373679995536804,-0.8955223880596961,2.6886792452830193,0.0,10.74,33,25,0,0.0,1,3.0,3,0.04,/user/raabe14/u19361/workspace-allen/results/VISp_0/trial_1/phase_1/lib_ab4a70858e/lib_ab4a70858e__delay_0.12__dur_0.2.h5
